"date_time","fl_res_positive","repatriated_positive","nonfl_res_positive","fl_res_deaths","negative_tests","pending_tests","monitoring_curren","monitoring_total"
2020-03-08 21:50:00,11,5,1,2,118,108,280,1038
2020-03-09 12:00:00,12,5,1,2,140,115,302,1104
2020-03-09 23:00:00,13,5,1,2,140,115,302,1104
2020-03-10 23:46:00,14,5,1,2,222,155,319,1161
2020-03-10 15:48:00,21,5,2,2,222,155,319,1161
2020-03-11 15:26:00,21,5,2,2,301,147,353,1230
2020-03-11 01:43:00,23,5,3,2,301,147,476,1230
2020-03-12 13:07:00,26,5,3,2,301,147,476,1230
2020-03-12 06:49:00,27,5,3,2,301,147,476,1230
2020-03-13 11:26:00,42,5,3,2,301,147,476,1230
2020-03-15 05:45:00,106,7,9,4,478,221,365,1413
2020-03-15 20:24:00,106,6,9,4,678,454,410,1497
2020-03-15 22:10:00,136,6,13,4,684,514,442,1573
